Slice	Date	Plot	Treatment	Replicate	Microplot	Date2	Area	ok
2017-12	31/12/17	OR2	NH	3	OR2-NH3	(31-12-17)	40.123	
2018-01	06/01/18	OR2	H	1	OR2-H1	(06-01-18)	13.613	
2018-01	06/01/18	OR2	H	2	OR2-H2	(06-01-18)	10.545	
2018-01	06/01/18	OR2	H	3	OR2-H3	(06-01-18)	3.782	
2018-01	06/01/18	OR2	NH	1	OR2-NH1	(06-01-18)	53.267	
2018-01	06/01/18	OR2	NH	2	OR2-NH2	(06-01-18)	52.578	
2018-01	06/01/18	OR2	NH	3	OR2-NH3	(06-01-18)	39.684	
2018-01	13/01/18	OR2	H	1	OR2-H1	(13-01-18)	10.086	
2018-01	13/01/18	OR2	H	2	OR2-H2	(13-01-18)	9.586	
2018-01	13/01/18	OR2	H	3	OR2-H3	(13-01-18)	3.987	
2018-01	13/01/18	OR2	NH	1	OR2-NH1	(13-01-18)	51.349	
2018-01	13/01/18	OR2	NH	2	OR2-NH2	(13-01-18)	52.434	
2018-01	13/01/18	OR2	NH	3	OR2-NH3	(13-01-18)	35.096	
2018-01	21/01/18	OR2	H	1	OR2-H1	(21-01-18)	11.948	
